type        entry_flag  entry_name                              entry_disp                              version                 latest                  release         support         web_regexp                                                                                                                                      web_path                                                                                                                                        web_tstamp                                      web_size        web_check                                       web_status      iso_path                                                                                iso_tstamp                                      iso_size        iso_volume                                  rmk_path                                                                                rmk_tstamp                                      rmk_size        rmk_volume                                  ldr_initrd                                                                              ldr_kernel                                                                              cfg_path                                                                                cfg_tstamp                                      lnk_path                                                                                create_flag 
dvd         L           debian-11                               Debian%2011                             debian-11.0             debian-11.0             2021-08-14      2024-08-15      https://cdimage.debian.org/cdimage/archive/latest-oldoldstable/amd64/iso-dvd/debian-11.[0-9.]*-amd64-DVD-1.iso                                  -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/debian/debian-11.11.0-amd64-DVD-1.iso                               -                                               -               -                                           :_DIRS_RMAK_:/debian-11.11.0-amd64-DVD-1_preseed.iso                                    -                                               -               -                                           :_DIRS_LOAD_:/debian-11/install.amd/initrd.gz                                           :_DIRS_LOAD_:/debian-11/install.amd/vmlinuz                                             :_DIRS_CONF_:/preseed/ps_debian_server_old.cfg                                          -                                               -                                                                                       -           
dvd         o           debian-12                               Debian%2012                             debian-12.0             debian-12.0             2023-06-10      2026-06-10      https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-dvd/debian-12.[0-9.]*-amd64-DVD-1.iso                                     https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-dvd/debian-12.12.0-amd64-DVD-1.iso                                        2025-09-06%2017:09:04+0000                      3992977408      -                                               200             :_DIRS_ISOS_:/linux/debian/debian-12.12.0-amd64-DVD-1.iso                               2025-09-06%2017:09:04+0000                      3992977408      Debian%2012.12.0%20amd64%201                :_DIRS_RMAK_:/debian-12.12.0-amd64-DVD-1_preseed.iso                                    2026-01-03%2023:52:05+0000                      4165287936      Debian%2012.12.0%20amd64%201                :_DIRS_LOAD_:/debian-12/install.amd/initrd.gz                                           :_DIRS_LOAD_:/debian-12/install.amd/vmlinuz                                             :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         o           debian-13                               Debian%2013                             debian-13.0             debian-13.0             2025-08-09      2028-08-09      https://cdimage.debian.org/cdimage/release/current/amd64/iso-dvd/debian-13.[0-9.]*-amd64-DVD-1.iso                                              https://cdimage.debian.org/cdimage/release/current/amd64/iso-dvd/debian-13.2.0-amd64-DVD-1.iso                                                  2025-11-15%2013:17:29+0000                      3985178624      -                                               200             :_DIRS_ISOS_:/linux/debian/debian-13.2.0-amd64-DVD-1.iso                                2025-11-15%2013:17:29+0000                      3985178624      Debian%2013.2.0%20amd64%201                 :_DIRS_RMAK_:/debian-13.2.0-amd64-DVD-1_preseed.iso                                     2026-01-03%2023:55:30+0000                      4177526784      Debian%2013.2.0%20amd64%201                 :_DIRS_LOAD_:/debian-13/install.amd/initrd.gz                                           :_DIRS_LOAD_:/debian-13/install.amd/vmlinuz                                             :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         =           debian-14                               Debian%2014                             debian-14.0             debian-14.0             2027-xx-xx      20xx-xx-xx      -                                                                                                                                               -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/debian/debian-14.0.0-amd64-DVD-1.iso                                -                                               -               -                                           -                                                                                       -                                               -               -                                           :_DIRS_LOAD_:/debian-14/install.amd/initrd.gz                                           :_DIRS_LOAD_:/debian-14/install.amd/vmlinuz                                             :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
dvd         o           debian-testing                          Debian%20testing                        debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/weekly-builds/amd64/iso-dvd/debian-testing-amd64-DVD-1.iso                                                   https://cdimage.debian.org/cdimage/weekly-builds/amd64/iso-dvd/debian-testing-amd64-DVD-1.iso                                                   2025-12-29%2011:32:28+0000                      3968434176      2026-01-04%2000:15:19+0000                      200             :_DIRS_ISOS_:/linux/debian/debian-testing-amd64-DVD-1.iso                               2025-12-29%2011:32:28+0000                      3968434176      Debian%20testing%20amd64%201                :_DIRS_RMAK_:/debian-testing-amd64-DVD-1_preseed.iso                                    2026-01-03%2023:59:09+0000                      4240490496      Debian%20testing%20amd64%201                :_DIRS_LOAD_:/debian-testing/install.amd/initrd.gz                                      :_DIRS_LOAD_:/debian-testing/install.amd/vmlinuz                                        :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         L           ubuntu-live-20.04                       Ubuntu%2020.04%20Live%20Server          ubuntu-20.04            ubuntu-20.04            2020-04-23      2025-05-29      https://releases.ubuntu.com/20.04/ubuntu-20.04[0-9.]*-live-server-amd64.iso                                                                     -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/ubuntu-20.04.6-live-server-amd64.iso                         -                                               -               -                                           :_DIRS_RMAK_:/ubuntu-20.04.6-live-server-amd64_nocloud.iso                              -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-20.04/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-20.04/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server_old                                                 -                                               -                                                                                       -           
dvd         S           ubuntu-live-22.04                       Ubuntu%2022.04%20Live%20Server          ubuntu-22.04            ubuntu-22.04            2022-04-21      2027-06-01      https://releases.ubuntu.com/22.04/ubuntu-22.04[0-9.]*-live-server-amd64.iso                                                                     -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/ubuntu-22.04.5-live-server-amd64.iso                         -                                               -               -                                           :_DIRS_RMAK_:/ubuntu-22.04.5-live-server-amd64_nocloud.iso                              -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-22.04/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-22.04/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server_old                                                 -                                               -                                                                                       -           
dvd         o           ubuntu-live-24.04                       Ubuntu%2024.04%20Live%20Server          ubuntu-24.04            ubuntu-24.04            2024-04-25      2029-05-31      https://releases.ubuntu.com/24.04/ubuntu-24.04[0-9.]*-live-server-amd64.iso                                                                     https://releases.ubuntu.com/24.04/ubuntu-24.04.3-live-server-amd64.iso                                                                          2025-08-05%2023:54:22+0000                      3303444480      -                                               200             :_DIRS_ISOS_:/linux/ubuntu/ubuntu-24.04.3-live-server-amd64.iso                         2025-08-05%2023:54:22+0000                      3303444480      Ubuntu-Server%2024.04.3%20LTS%20amd64       :_DIRS_RMAK_:/ubuntu-24.04.3-live-server-amd64_nocloud.iso                              2026-01-04%2000:00:39+0000                      3303798784      Ubuntu-Server%2024.04.3%20LTS%20amd64       :_DIRS_LOAD_:/ubuntu-live-24.04/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-24.04/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         L           ubuntu-live-24.10                       Ubuntu%2024.10%20Live%20Server          ubuntu-24.10            ubuntu-24.10            2024-10-10      2025-07-xx      https://releases.ubuntu.com/24.10/ubuntu-24.10[0-9.]*-live-server-amd64.iso                                                                     -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/ubuntu-24.10-live-server-amd64.iso                           -                                               -               -                                           :_DIRS_RMAK_:/ubuntu-24.10-live-server-amd64_nocloud.iso                                -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-24.10/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-24.10/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     -                                               -                                                                                       -           
dvd         o           ubuntu-live-25.04                       Ubuntu%2025.04%20Live%20Server          ubuntu-25.04            ubuntu-25.04            2025-04-17      2026-01-xx      https://releases.ubuntu.com/25.04/ubuntu-25.04[0-9.]*-live-server-amd64.iso                                                                     https://releases.ubuntu.com/25.04/ubuntu-25.04-live-server-amd64.iso                                                                            2025-04-15%2022:38:47+0000                      2021750784      -                                               200             :_DIRS_ISOS_:/linux/ubuntu/ubuntu-25.04-live-server-amd64.iso                           2025-04-15%2022:38:47+0000                      2021750784      Ubuntu-Server%2025.04%20amd64               :_DIRS_RMAK_:/ubuntu-25.04-live-server-amd64_nocloud.iso                                2026-01-04%2000:01:41+0000                      2022105088      Ubuntu-Server%2025.04%20amd64               :_DIRS_LOAD_:/ubuntu-live-25.04/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-25.04/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         o           ubuntu-live-25.10                       Ubuntu%2025.10%20Live%20Server          ubuntu-25.10            ubuntu-25.10            20xx-xx-xx      20xx-xx-xx      https://releases.ubuntu.com/25.10/ubuntu-25.10[0-9.]*-live-server-amd64.iso                                                                     https://releases.ubuntu.com/25.10/ubuntu-25.10-live-server-amd64.iso                                                                            2025-10-07%2019:35:49+0000                      2283360256      -                                               200             :_DIRS_ISOS_:/linux/ubuntu/ubuntu-25.10-live-server-amd64.iso                           2025-10-07%2019:35:49+0000                      2283360256      Ubuntu-Server%2025.10%20amd64               :_DIRS_RMAK_:/ubuntu-25.10-live-server-amd64_nocloud.iso                                2026-01-04%2000:02:44+0000                      2283714560      Ubuntu-Server%2025.10%20amd64               :_DIRS_LOAD_:/ubuntu-live-25.10/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         x           ubuntu-live-25.10-beta                  Ubuntu%2025.10%20Live%20Server          ubuntu-25.10            ubuntu-25.10            20xx-xx-xx      20xx-xx-xx      https://releases.ubuntu.com/25.10/ubuntu-25.10[0-9.]*-beta-live-server-amd64.iso                                                                -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/ubuntu-25.10-beta-live-server-amd64.iso                      -                                               -               -                                           :_DIRS_RMAK_:/ubuntu-25.10-beta-live-server-amd64_nocloud.iso                           -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     -                                               -                                                                                       -           
dvd         x           ubuntu-live-25.10-snapshot              Ubuntu%2025.10%20Live%20Server          ubuntu-25.10            ubuntu-25.10            20xx-xx-xx      20xx-xx-xx      http://ubuntutym2.u-toyama.ac.jp/ubuntu-dvd/25.10/snapshot-4/ubuntu-25.10-snapshot[0-9]*-live-server-amd64.iso                                  -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/ubuntu-25.10-snapshot4-live-server-amd64.iso                 -                                               -               -                                           :_DIRS_RMAK_:/ubuntu-25.10-snapshot4-live-server-amd64_nocloud.iso                      -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     -                                               -                                                                                       -           
dvd         x           ubuntu-live-25.10-daily-build           Ubuntu%2025.10%20Live%20Server          ubuntu-25.10            ubuntu-25.10            20xx-xx-xx      20xx-xx-xx      https://cdimage.ubuntu.com/ubuntu-server/daily-live/current/questing-live-server-amd64.iso                                                      -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/ubuntu/questing-live-server-amd64.iso                               -                                               -               -                                           :_DIRS_RMAK_:/questing-live-server-amd64_nocloud.iso                                    -                                               -               -                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/initrd                                           :_DIRS_LOAD_:/ubuntu-live-25.10/casper/vmlinuz                                          :_DIRS_CONF_:/nocloud/ubuntu_server                                                     -                                               -                                                                                       -           
dvd         x           fedora-40                               Fedora%20Server%2040                    fedora-40               fedora-40               2024-04-23      2025-05-28      https://download.fedoraproject.org/pub/fedora/linux/releases/40/Server/x86_64/iso/Fedora-Server-dvd-x86_64-40-[0-9.]*.iso                       -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-dvd-x86_64-40-1.14.iso                         -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-dvd-x86_64-40-1.14_kickstart.iso                            -                                               -               -                                           :_DIRS_LOAD_:/fedora-40/images/pxeboot/initrd.img                                       :_DIRS_LOAD_:/fedora-40/images/pxeboot/vmlinuz                                          :_DIRS_CONF_:/kickstart/ks_fedora-40_dvd.cfg                                            -                                               -                                                                                       -           
dvd         x           fedora-41                               Fedora%20Server%2041                    fedora-41               fedora-41               2024-10-29      2025-11-19      https://download.fedoraproject.org/pub/fedora/linux/releases/41/Server/x86_64/iso/Fedora-Server-dvd-x86_64-41-[0-9.]*.iso                       -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-dvd-x86_64-41-1.4.iso                          -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-dvd-x86_64-41-1.4_kickstart.iso                             -                                               -               -                                           :_DIRS_LOAD_:/fedora-41/images/pxeboot/initrd.img                                       :_DIRS_LOAD_:/fedora-41/images/pxeboot/vmlinuz                                          :_DIRS_CONF_:/kickstart/ks_fedora-41_dvd.cfg                                            -                                               -                                                                                       -           
dvd         x           fedora-42                               Fedora%20Server%2042                    fedora-42               fedora-42               2025-04-15      2026-05-13      https://download.fedoraproject.org/pub/fedora/linux/releases/42/Server/x86_64/iso/Fedora-Server-dvd-x86_64-42-[0-9.]*.iso                       -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-dvd-x86_64-42-1.1.iso                          -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-dvd-x86_64-42-1.1_kickstart.iso                             -                                               -               -                                           :_DIRS_LOAD_:/fedora-42/images/pxeboot/initrd.img                                       :_DIRS_LOAD_:/fedora-42/images/pxeboot/vmlinuz                                          :_DIRS_CONF_:/kickstart/ks_fedora-42_dvd.cfg                                            -                                               -                                                                                       -           
dvd         o           fedora-43                               Fedora%20Server%2043                    fedora-43               fedora-43               2025-11-11      2026-12-02      https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-dvd-x86_64-43-[0-9.]*.iso                       https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-dvd-x86_64-43-1.6.iso                           2025-10-23%2003:43:07+0000                      3484483584      -                                               200             :_DIRS_ISOS_:/linux/fedora/Fedora-Server-dvd-x86_64-43-1.6.iso                          2025-10-23%2003:43:07+0000                      3484483584      Fedora-S-dvd-x86_64-43                      :_DIRS_RMAK_:/Fedora-Server-dvd-x86_64-43-1.6_kickstart.iso                             2026-01-04%2000:06:05+0000                      3484712960      Fedora-S-dvd-x86_64-43                      :_DIRS_LOAD_:/fedora-43/images/pxeboot/initrd.img                                       :_DIRS_LOAD_:/fedora-43/images/pxeboot/vmlinuz                                          :_DIRS_CONF_:/kickstart/ks_fedora-43_dvd.cfg                                            2026-01-04%2000:14:00+0000                      -                                                                                       c           
dvd         o           centos-stream-9                         CentOS%20Stream%209                     centos-stream-9         centos-stream-9         2021-12-03      2027-05-31      https://ftp.iij.ad.jp/pub/linux/centos-stream/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-dvd1.iso                                 https://ftp.iij.ad.jp/pub/linux/centos-stream/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-dvd1.iso                                 2025-12-23%2004:17:43+0000                      14791737344     2026-01-04%2000:15:27+0000                      200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-9-latest-x86_64-dvd1.iso                       2025-12-23%2004:17:43+0000                      14791737344     CentOS-Stream-9-BaseOS-x86_64               :_DIRS_RMAK_:/CentOS-Stream-9-latest-x86_64-dvd1_kickstart.iso                          2026-01-03%2013:28:43+0000                      15032223744     CentOS-Stream-9-BaseOS-x86_64               :_DIRS_LOAD_:/centos-stream-9/images/pxeboot/initrd.img                                 :_DIRS_LOAD_:/centos-stream-9/images/pxeboot/vmlinuz                                    :_DIRS_CONF_:/kickstart/ks_centos-stream-9_dvd.cfg                                      2026-01-04%2000:14:00+0000                      -                                                                                       c           
dvd         o           centos-stream-10                        CentOS%20Stream%2010                    centos-stream-10        centos-stream-10        2024-12-12      2030-01-01      https://ftp.iij.ad.jp/pub/linux/centos-stream/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-dvd1.iso                               https://ftp.iij.ad.jp/pub/linux/centos-stream/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-dvd1.iso                               2025-12-23%2016:34:18+0000                      9219997696      2026-01-04%2000:15:27+0000                      200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-10-latest-x86_64-dvd1.iso                      2025-12-23%2016:34:18+0000                      9219997696      CentOS-Stream-10-BaseOS-x86_64              :_DIRS_RMAK_:/CentOS-Stream-10-latest-x86_64-dvd1_kickstart.iso                         2026-01-03%2013:34:25+0000                      9220546560      CentOS-Stream-10-BaseOS-x86_64              :_DIRS_LOAD_:/centos-stream-10/images/pxeboot/initrd.img                                :_DIRS_LOAD_:/centos-stream-10/images/pxeboot/vmlinuz                                   :_DIRS_CONF_:/kickstart/ks_centos-stream-10_dvd.cfg                                     2026-01-04%2000:14:00+0000                      -                                                                                       c           
dvd         o           almalinux-9                             Alma%20Linux%209                        almalinux-9             almalinux-9.6           2025-05-20      20xx-xx-xx      https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-dvd.iso                                                            https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-dvd.iso                                                            2025-11-15%2011:54:07+0000                      13337886720     2026-01-04%2000:15:27+0000                      200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-9-latest-x86_64-dvd.iso                         2025-11-15%2011:54:07+0000                      13337886720     AlmaLinux-9-7-x86_64-dvd                    :_DIRS_RMAK_:/AlmaLinux-9-latest-x86_64-dvd_kickstart.iso                               2026-01-03%2013:40:30+0000                      13511747584     AlmaLinux-9-7-x86_64-dvd                    :_DIRS_LOAD_:/almalinux-9/images/pxeboot/initrd.img                                     :_DIRS_LOAD_:/almalinux-9/images/pxeboot/vmlinuz                                        :_DIRS_CONF_:/kickstart/ks_almalinux-9_dvd.cfg                                          2026-01-04%2000:13:59+0000                      -                                                                                       c           
dvd         o           almalinux-10                            Alma%20Linux%2010                       almalinux-10            almalinux-10.0          2025-05-27      20xx-xx-xx      https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-dvd.iso                                                          https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-dvd.iso                                                          2025-11-19%2019:33:59+0000                      8953528320      2026-01-04%2000:15:28+0000                      200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-10-latest-x86_64-dvd.iso                        2025-11-19%2019:33:59+0000                      8953528320      AlmaLinux-10-1-x86_64-dvd                   :_DIRS_RMAK_:/AlmaLinux-10-latest-x86_64-dvd_kickstart.iso                              2026-01-03%2013:45:49+0000                      8953763840      AlmaLinux-10-1-x86_64-dvd                   :_DIRS_LOAD_:/almalinux-10/images/pxeboot/initrd.img                                    :_DIRS_LOAD_:/almalinux-10/images/pxeboot/vmlinuz                                       :_DIRS_CONF_:/kickstart/ks_almalinux-10_dvd.cfg                                         2026-01-04%2000:14:00+0000                      -                                                                                       c           
dvd         o           rockylinux-9                            Rocky%20Linux%209                       rockylinux-9            rockylinux-9.6          2024-11-19      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-dvd.iso                                                           https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-dvd.iso                                                           2025-11-22%2011:22:36+0000                      13360889856     2026-01-04%2000:15:29+0000                      200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-9-latest-x86_64-dvd.iso                            2025-11-22%2011:22:36+0000                      13360889856     Rocky-9-7-x86_64-dvd                        :_DIRS_RMAK_:/Rocky-9-latest-x86_64-dvd_kickstart.iso                                   2026-01-03%2013:51:53+0000                      13534732288     Rocky-9-7-x86_64-dvd                        :_DIRS_LOAD_:/rockylinux-9/images/pxeboot/initrd.img                                    :_DIRS_LOAD_:/rockylinux-9/images/pxeboot/vmlinuz                                       :_DIRS_CONF_:/kickstart/ks_rockylinux-9_dvd.cfg                                         2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         o           rockylinux-10                           Rocky%20Linux%2010                      rockylinux-10           rockylinux-10.0         20xx-xx-xx      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-dvd.iso                                                         https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-dvd.iso                                                         2025-11-14%2020:54:28+0000                      9278128128      2026-01-04%2000:15:29+0000                      200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-10-latest-x86_64-dvd.iso                           2025-11-14%2020:54:28+0000                      9278128128      Rocky-10-1-x86_64-dvd                       :_DIRS_RMAK_:/Rocky-10-latest-x86_64-dvd_kickstart.iso                                  2026-01-03%2013:57:15+0000                      9278359552      Rocky-10-1-x86_64-dvd                       :_DIRS_LOAD_:/rockylinux-10/images/pxeboot/initrd.img                                   :_DIRS_LOAD_:/rockylinux-10/images/pxeboot/vmlinuz                                      :_DIRS_CONF_:/kickstart/ks_rockylinux-10_dvd.cfg                                        2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         o           miraclelinux-9                          Miracle%20Linux%209                     miraclelinux-9          miraclelinux-9.6        2025-07-14      20xx-xx-xx      https://repo.dist.miraclelinux.net/miraclelinux/isos/9.[0-9.]*-released/x86_64/MIRACLELINUX-9.[0-9.]*-rtm-x86_64.iso                            https://repo.dist.miraclelinux.net/miraclelinux/isos/9.6-released/x86_64/MIRACLELINUX-9.6-rtm-x86_64.iso                                        2025-07-09%2005:49:31+0000                      12297824256     -                                               200             :_DIRS_ISOS_:/linux/miraclelinux/MIRACLELINUX-9.6-rtm-x86_64.iso                        2025-07-09%2005:49:31+0000                      12297824256     MIRACLE-LINUX-9-6-x86_64                    :_DIRS_RMAK_:/MIRACLELINUX-9.6-rtm-x86_64_kickstart.iso                                 2026-01-03%2021:18:51+0000                      12472082432     MIRACLE-LINUX-9-6-x86_64                    :_DIRS_LOAD_:/miraclelinux-9/images/pxeboot/initrd.img                                  :_DIRS_LOAD_:/miraclelinux-9/images/pxeboot/vmlinuz                                     :_DIRS_CONF_:/kickstart/ks_miraclelinux-9_dvd.cfg                                       2026-01-04%2000:14:01+0000                      -                                                                                       c           
dvd         x           opensuse-leap-15.6                      openSUSE%20Leap%2015.6                  opensuse-leap-15.6      opensuse-leap-15.6      2024-06-12      2025-12-31      https://download.opensuse.org/distribution/leap/15.6/iso/openSUSE-Leap-15.6-DVD-x86_64-Media.iso                                                -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/opensuse/openSUSE-Leap-15.6-DVD-x86_64-Media.iso                    -                                               -               -                                           :_DIRS_RMAK_:/openSUSE-Leap-15.6-DVD-x86_64-Media_autoyast.iso                          -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-15.6/boot/x86_64/loader/initrd                              :_DIRS_LOAD_:/opensuse-leap-15.6/boot/x86_64/loader/linux                               :_DIRS_CONF_:/autoyast/autoinst_leap-15.6_dvd.xml                                       -                                               -                                                                                       -           
dvd         o           opensuse-leap-16.0                      openSUSE%20Leap%2016.0                  opensuse-leap-16.0      opensuse-leap-16.0      2025-10-xx      20xx-xx-xx      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-offline-installer-x86_64.install.iso                                     https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-offline-installer-x86_64.install.iso                                     2025-09-29%2013:54:01+0000                      4469030912      2026-01-04%2000:15:32+0000                      200             :_DIRS_ISOS_:/linux/opensuse/Leap-16.0-offline-installer-x86_64.install.iso             2025-09-29%2013:54:01+0000                      4469030912      Install-Leap-16.0-x86_64                    :_DIRS_RMAK_:/Leap-16.0-offline-installer-x86_64.install_agama.iso                      2026-01-03%2021:23:34+0000                      4468240384      Install-Leap-16.0-x86_64                    :_DIRS_LOAD_:/opensuse-leap-16.0/boot/x86_64/loader/initrd                              :_DIRS_LOAD_:/opensuse-leap-16.0/boot/x86_64/loader/linux                               :_DIRS_CONF_:/agama/autoinst_leap-16.0.json                                             2026-01-04%2000:13:59+0000                      -                                                                                       c           
dvd         o           opensuse-tumbleweed                     openSUSE%20Tumbleweed                   opensuse-tumbleweed     opensuse-tumbleweed     2014-11-xx      20xx-xx-xx      https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-DVD-x86_64-Current.iso                                                         https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-DVD-x86_64-Current.iso                                                         2026-01-02%2014:39:00+0000                      4581228544      2026-01-04%2000:15:37+0000                      200             :_DIRS_ISOS_:/linux/opensuse/openSUSE-Tumbleweed-DVD-x86_64-Current.iso                 2026-01-02%2014:39:00+0000                      4581228544      openSUSE-Tumbleweed-DVD-x86_64              :_DIRS_RMAK_:/openSUSE-Tumbleweed-DVD-x86_64-Current_autoyast.iso                       2026-01-03%2021:34:28+0000                      4574545920      openSUSE-Tumbleweed-DVD-x86_64              :_DIRS_LOAD_:/opensuse-tumbleweed/boot/x86_64/loader/initrd                             :_DIRS_LOAD_:/opensuse-tumbleweed/boot/x86_64/loader/linux                              :_DIRS_CONF_:/autoyast/autoinst_tumbleweed_dvd.xml                                      2026-01-04%2000:13:59+0000                      -                                                                                       c           
dvd         x           opensuse-leap-16.0-beta                 openSUSE%20Leap%2016.0%20Beta           opensuse-leap-16.0      opensuse-leap-16.0      2025-10-xx      20xx-xx-xx      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-offline-installer-x86_64.install.iso                                     -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/opensuse/Leap-16.0-offline-installer-x86_64.install.iso             -                                               -               -                                           :_DIRS_RMAK_:/Leap-16.0-offline-installer-x86_64.install_agama.iso                      -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-16.0-beta/boot/x86_64/loader/initrd                         :_DIRS_LOAD_:/opensuse-leap-16.0-beta/boot/x86_64/loader/linux                          :_DIRS_CONF_:/agama/autoinst_leap-16.0.json                                             -                                               -                                                                                       -           
dvd         o           windows-10                              Windows%2010                            windows-10              windows-10              2022-10-18      2025-10-14      -                                                                                                                                               -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/windows/windows-10/Win10_22H2_Japanese_x64.iso                            2022-10-18%2015:21:50+0000                      6003816448      CCCOMA_X64FRE_JA-JP_DV9                     -                                                                                       -                                               -               -                                           -                                                                                       -                                                                                       -                                                                                       -                                               -                                                                                       -           
dvd         o           windows-11                              Windows%2011                            windows-11              windows-11              2025-09-30      2027-10-12      -                                                                                                                                               -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/windows/windows-11/Win11_25H2_Japanese_x64.iso                            2025-09-30%2015:12:50+0000                      7650324480      CCCOMA_X64FRE_JA-JP_DV9                     -                                                                                       -                                               -               -                                           -                                                                                       -                                                                                       -                                                                                       -                                               -                                                                                       -           
